"char";"storage";"item";"quantity"
"Dela";"sack";"L.Abjuration: Hd.";"1"
"Dela";"sack";"E.Abjuration: Ft.";"1"
"Dela";"sack";"E.Abjuration: Hn.";"1"
"Dela";"sack";"H.Abjuration: Hd.";"1"
"Dela";"sack";"F.Abjuration: Lg.";"1"
"Dela";"sack";"P.Abjuration: Lg.";"1"
"Dela";"sack";"T.Abjuration: Hn.";"1"
"Dela";"sack";"Ar.Abjuration: Lg.";"1"
"Dela";"sack";"S.Abjuration: Ft.";"1"
"Dela";"sack";"Ab.Abjuration: Hn.";"1"
"Dela";"sack";"E.Abjuration: Hd.";"1"
"Dela";"sack";"P.Abjuration: Ft.";"1"
"Dela";"sack";"H.Abjuration: Hn.";"1"
"Dela";"sack";"M.Abjuration: Hd.";"1"
"Dela";"sack";"H.Abjuration: Lg.";"1"
"Dela";"sack";"W.Abjuration: Hd.";"1"
"Dela";"sack";"Ar.Abjuration: Hd.";"1"
"Dela";"sack";"E.Abjuration: Lg.";"1"
"Dela";"sack";"Ar.Abjuration: Ft.";"1"
"Dela";"sack";"Va.Abjuration: Hn.";"1"
"Dela";"sack";"F.Abjuration: Hn.";"1"
"Dela";"sack";"N.Abjuration: Ft.";"1"
"Dela";"sack";"F.Abjuration: Ft.";"1"
"Dela";"sack";"Gr.Abjuration: Hn.";"1"
"Dela";"sack";"W.Abjuration: Lg.";"1"
"Dela";"sack";"W.Abjuration: Ft.";"1"
"Dela";"sack";"N.Abjuration: Hn.";"1"
"Dela";"sack";"T.Abjuration: Hd.";"1"
"Dela";"sack";"D.Abjuration: Lg.";"1"
"Dela";"sack";"D.Abjuration: Hd.";"1"
"Dela";"sack";"C.Abjuration: Hn.";"1"
"Dela";"sack";"Ve.Abjuration: Ft.";"1"
"Dela";"sack";"C.Abjuration: Ft.";"1"
"Dela";"sack";"S.Abjuration: Hd.";"1"
"Dela";"sack";"Ab.Abjuration: Ft.";"1"
"Dela";"sack";"D.Abjuration: Hn.";"1"
"Dela";"sack";"M.Abjuration: Bd.";"1"
"Dela";"sack";"L.Abjuration: Lg.";"1"
"Dela";"sack";"H.Abjuration: Bd.";"1"
"Dela";"sack";"P.Abjuration: Bd.";"1"
"Dela";"sack";"P.Abjuration: Hd.";"1"
"Dela";"sack";"S.Abjuration: Lg.";"1"
"Dela";"sack";"N.Abjuration: Lg.";"1"
"Dela";"sack";"D.Abjuration: Ft.";"1"
"Dela";"case";"Itzpapa. Scale";"17"
"Dela";"case";"Monkey Wine";"1"
"Dela";"case";"Atst. of Vigor";"1"
"Dela";"case";"Atst. of Glory";"1"
"Dela";"case";"Atst. of Might";"1"
"Dela";"case";"Necropsyche";"1"
"Dela";"case";"Infinity Core";"1"
"Dela";"case";"Atst. of Right.";"1"
"Dela";"case";"Atst. of Decisiv.";"1"
"Dela";"case";"Second Virtue";"1"
"Dela";"case";"Seraphic Fragment";"1"
"Dela";"case";"H.Q. Phuabo Org.";"3"
"Dela";"case";"Deed of Moder.";"1"
"Dela";"case";"H.Q. Xzomit Organ";"7"
"Dela";"case";"Atst. of Accuracy";"1"
"Dela";"case";"Glavoid Shell";"22"
"Dela";"case";"Sobek's Skin";"11"
"Dela";"case";"Dragua's Scale";"1"
"Dela";"case";"Atst. of Legerity";"1"
"Dela";"case";"H.Q. Hpemde Org.";"14"
"Dela";"case";"Sixth Virtue";"8"
"Dela";"case";"Third Virtue";"2"
"Dela";"case";"Fifth Virtue";"9"
"Dela";"case";"Fourth Virtue";"9"
"Dela";"case";"Singed Buffalo";"1"
"Dela";"case";"Despot's Fortune";"1"
"Dela";"case";"Ethereal Fragment";"1"
"Dela";"case";"Alfard's Fang";"5"
"Dela";"case";"Deed of Sensib.";"3"
"Dela";"case";"Orthrus's Claw";"9"
"Dela";"case";"Marksman's Oil";"1"
"Dela";"case";"Ulhuadshi's Fang";"3"
"Dela";"case";"Abdhaljs's Honor";"1"
"Dela";"safe2";"Alexandrite";"7824"
"Dela";"wardrobe2";"Hgafircian +2";"1"
"Dela";"wardrobe2";"Thorfinn Shield";"1"
"Dela";"wardrobe2";"Sukeroku Hachi.";"1"
"Dela";"wardrobe2";"Cohort Cloak";"1"
"Dela";"wardrobe2";"Hag. Sabots +1";"1"
"Dela";"wardrobe2";"Tatena. Haidate";"1"
"Dela";"wardrobe2";"Felistris Mask";"1"
"Dela";"wardrobe2";"Deathbone Knife";"1"
"Dela";"wardrobe2";"Felicitas Cape +1";"1"
"Dela";"wardrobe2";"Rheic Salade +1";"1"
"Dela";"wardrobe2";"Pursuer's Beret";"1"
"Dela";"wardrobe2";"Oatixur";"1"
"Dela";"wardrobe2";"Bane Cape";"1"
"Dela";"wardrobe2";"Busker's Earring";"1"
"Dela";"wardrobe2";"Niht Mantle";"1"
"Dela";"wardrobe2";"Hagondes Hat +1";"1"
"Dela";"wardrobe2";"Baqil Staff";"1"
"Dela";"wardrobe2";"Perfervid Sword";"1"
"Dela";"wardrobe2";"Atakigiri";"1"
"Dela";"wardrobe2";"Flame Sachet";"1"
"Dela";"wardrobe2";"Acumen Ring";"1"
"Dela";"wardrobe2";"Hedera Cotehardie";"1"
"Dela";"wardrobe2";"Antitail";"1"
"Dela";"wardrobe2";"Kaitsuburi";"1"
"Dela";"wardrobe2";"Ecphoria Ring";"1"
"Dela";"wardrobe2";"Castigation";"1"
"Dela";"wardrobe2";"Ayao's Gages";"1"
"Dela";"wardrobe2";"Shetal Stone";"1"
"Dela";"wardrobe2";"Kupayopl";"1"
"Dela";"wardrobe2";"Assuage Earring";"1"
"Dela";"wardrobe2";"Artful Belt";"1"
"Dela";"wardrobe2";"Qaaxo Tights";"1"
"Dela";"wardrobe2";"Lugra Cloak";"1"
"Dela";"wardrobe2";"Pixie Earring";"1"
"Dela";"wardrobe2";"Buquwik Cape";"1"
"Dela";"wardrobe2";"Narmar Boomerang";"1"
"Dela";"wardrobe2";"Hagondes Cuffs +1";"1"
"Dela";"wardrobe2";"Dominance Earring";"1"
"Dela";"wardrobe2";"Eidolon Pendant";"1"
"Dela";"wardrobe2";"Piper's Torque";"1"
"Dela";"wardrobe2";"Umbani Boots";"1"
"Dela";"wardrobe2";"Serpentes Cuffs";"1"
"Dela";"key items";"job gesture: black mage";"1"
"Dela";"key items";""The Old Men of the Sea"";"1"
"Dela";"key items";"job gesture: monk";"1"
"Dela";"key items";"job gesture: thief";"1"
"Dela";"key items";"job gesture: white mage";"1"
"Dela";"key items";"GPS crystal";"1"
"Dela";"key items";"shimmering invitation";"1"
"Dela";"key items";"memorandoll";"1"
"Dela";"key items";"PSC Wildcat badge";"1"
"Dela";"key items";"Adoulinian charter permit";"1"
"Dela";"key items";"map of Adoulin";"1"
"Dela";"key items";"Tenshodo Member's Card";"1"
"Dela";"key items";""Water, Water Everywhere!"";"1"
"Dela";"key items";""Mythril Marathon Quarterly"";"1"
"Dela";"key items";"job gesture: red mage";"1"
"Dela";"key items";"boarding permit";"1"
"Dela";"key items";"geomagnetron";"1"
"Dela";"key items";"job gesture: warrior";"1"
"Dela";"key items";""Sow★Your★Seed!"";"1"
"Dela";"key items";""Give My Regards to Reodoan"";"1"
"Dela";"key items";""Take A Lode Off"";"1"
"Dela";"key items";""A Farewell to Freshwater"";"1"
"Dela";"key items";"Pioneer's Badge";"1"
"Dela";"key items";"Mea gate crystal";"1"
"Dela";"key items";"Holla gate crystal";"1"
"Dela";"key items";"map of the San d'Oria area";"1"
"Dela";"key items";"gil repository";"1"
